# x0 x1
-8.000595199937414817e-03 7.808298457557337588e-05
-7.582403764101351348e-03 4.759873359225179194e-05
-7.394656928405100513e-03 2.057427702771789207e-06
-7.446934601847823854e-03 -2.022944391145618014e-06
-8.409737187372264000e-03 3.152543055771879574e-04
-9.282107782831817977e-03 6.575286056656197593e-04
-9.583327690966484541e-03 7.656450186373825635e-04
-9.805290904297438506e-03 8.494874704443133948e-04
-1.001362999883253710e-02 9.348772380184982222e-04
-9.642411079260053419e-03 6.889234481721221662e-04
-1.012014652987036113e-02 7.226824985512085532e-04
-1.291707700718671380e-02 1.475174558517008136e-03
-1.325378022500610549e-02 1.596414568590397197e-03
-1.325147628374235935e-02 1.637144418622745075e-03
-1.322471420933296789e-02 1.674960508821322176e-03
4.932863465441142403e-02 -1.273769720793812253e-02
1.165138639660586173e-01 -2.905479127627562733e-02
1.820745326974037570e-01 -4.604514029038260514e-02
2.363089206439138446e-01 -6.075956030564640120e-02
2.906126468958398212e-01 -7.637678894094263038e-02
3.473879699671214571e-01 -9.382723228565870155e-02
4.075041286208576086e-01 -1.132101534883770133e-01
4.651209375920333788e-01 -1.327287474723164717e-01
5.293213795169665614e-01 -1.558966695881289222e-01
5.879496330233653367e-01 -1.781529912793425319e-01
6.416008967378254990e-01 -1.998514903323642677e-01
6.944142100131922568e-01 -2.224329310748555388e-01
7.496917085467004194e-01 -2.471457923292525172e-01
8.033989649434201130e-01 -2.721376004785953651e-01
8.573931432925628870e-01 -2.986378436580691131e-01
9.110707479586981350e-01 -3.259637865127241185e-01
9.684247071076806934e-01 -3.561314337953181974e-01
1.023754949694466010e+00 -3.867387302816113204e-01
1.077812762171977079e+00 -4.170195081310975049e-01
1.059140181390129332e+00 -4.064926968522288853e-01
1.056622655884168704e+00 -4.049342596303637798e-01
1.054451053435714325e+00 -4.035193761989624983e-01
1.052193045168803076e+00 -4.020456789843532830e-01
1.050049415079369552e+00 -4.005577133527926104e-01
1.050015632703051427e+00 -4.002951762979053973e-01
1.049884095790285521e+00 -3.993198977711068798e-01
1.049774538431433868e+00 -3.975029298568091840e-01
1.049912600199560231e+00 -3.960169248479651904e-01
1.049894594598046460e+00 -3.951242286003984194e-01
1.049231317291449805e+00 -3.938207913319269338e-01
1.048569537393853057e+00 -3.932514853217225492e-01
1.047971543988482690e+00 -3.925295734043436902e-01
1.045867148344669317e+00 -3.898164594517870007e-01
1.045324322045186660e+00 -3.907300185518933211e-01
1.046463910994462676e+00 -3.924524862296125960e-01
1.046631275791751525e+00 -3.923723087957898259e-01
1.086995225279618449e+00 -4.528681684169878485e-01
1.118879002167299408e+00 -5.019659015415708359e-01
1.151381775427831267e+00 -5.525931820770090264e-01
1.182922789173702416e+00 -6.030432193440087296e-01
1.213398120662230628e+00 -6.521152188110439507e-01
1.243457520661747751e+00 -7.015151228143667872e-01
1.273183477507399131e+00 -7.511458429873093534e-01
1.302399003526706789e+00 -8.015451412590623992e-01
1.327136914432726300e+00 -8.450127867782947222e-01
1.347013182835449241e+00 -8.813221045317841673e-01
1.367240639558499948e+00 -9.189603726326934785e-01
1.387881130537451657e+00 -9.582176098631508543e-01
1.408456577362534157e+00 -9.984789182147598696e-01
1.427376191788479298e+00 -1.036773179825121627e+00
1.445968655130127178e+00 -1.075883757355654113e+00
1.464072130513045966e+00 -1.114838731384217185e+00
1.482448208465050765e+00 -1.155405398458740240e+00
1.499041975522486192e+00 -1.193851588139769326e+00
1.516202301654501206e+00 -1.234877551509381055e+00
1.532511389054231454e+00 -1.275471852351093061e+00
1.536564699717361870e+00 -1.286454024964859277e+00
1.534929704206371204e+00 -1.282225448887231112e+00
1.534397648671620429e+00 -1.280803051278873284e+00
1.533814874924954941e+00 -1.279020737782404549e+00
1.533428636104162024e+00 -1.277708107192411013e+00
1.533033883203245740e+00 -1.276153235972176114e+00
1.533000299192071036e+00 -1.275410592702413082e+00
1.533593227166627049e+00 -1.275804013580327911e+00
1.533807234850773193e+00 -1.274934059468409986e+00
1.533783059412074712e+00 -1.273708926958054377e+00
1.533646292462903293e+00 -1.272820844273427898e+00
1.533573411383233998e+00 -1.272595442320123116e+00
1.531641685946772080e+00 -1.324099569998680614e+00
1.528534506594146025e+00 -1.397300378365434304e+00
1.525521879885798571e+00 -1.462262777755018117e+00
1.522180968122022193e+00 -1.527304488323612208e+00
1.518620591613673243e+00 -1.592999215327871365e+00
1.515260479122784831e+00 -1.651694479075284105e+00
1.511294915155447116e+00 -1.709786174536252812e+00
1.506867440051419482e+00 -1.768487178932457660e+00
1.501333609900318056e+00 -1.831434660856676944e+00
1.495681431009214357e+00 -1.889903812615424172e+00
1.489486702967277365e+00 -1.949667822294177011e+00
1.483067960132677277e+00 -2.006085837241388781e+00
1.476372393156613949e+00 -2.059001591515922325e+00
1.468885257918292275e+00 -2.114414826979855278e+00
